qSpecies,total_count,average_age_years
Fraxinus americana 'Autumn Purple' :: American Autumn Purple Ash,11,17
Cupaniopsis anacardioides :: Carrotwood,11,21.636363636363637
Acer palmatum :: Japanese Maple,11,18.545454545454547
Acacia baileyana 'Purpurea' :: Purple-leaf Acacia,11,12.818181818181818
Schinus molle :: California Pepper,10,21.3
Koelreuteria paniculata :: Golden Rain Tree,10,17.8
Juniperus chinensis :: Juniper,10,20.4
Fraxinus spp :: Ash Spp,10,28.2
Dodonaea viscosa :: Hop Bush,10,23.2
Rhaphiolepis indica :: India Hawthorn,9,27.22222222222222
Prunus cerasifera 'Krauter vesuvius' :: Purple Leaf Plum Krauter Vesuvius,9,13.666666666666666
Photinia fraseri :: Photinia: Chinese photinia,9,29.22222222222222
Leptospermum scoparium 'Ruby Glow' :: New Zealand Ruby Glow Tea Tree,9,25.666666666666668
Fraxinus uhdei :: Shamel Ash: Evergreen Ash,9,42.111111111111114
Cassia leptophylla :: Gold Medallion Tree,9,5.666666666666667
Ulmus 'Prospector' :: Prospector Elm,8,26
Melaleuca styphelliodes :: Paperbark Tree,8,34.625
Laurus x 'Saratoga' :: Hybrid Laurel,8,9.625
Dodonaea viscosa 'Purpurea' :: Purple Hopseed Bush,8,28.375
Crateagus spp :: Hawthorn,8,25.75
Celtis sinensis :: Chinese Hackberry,8,28
Agonis flexuosa 'After Dark' :: Peppermint willow 'After Dark',8,13.5
Aesculus californica :: California Buckeye,8,4.625
Pyrus calleryana 'Bradford' :: Ornamental Pear: Bradford,7,26.571428571428573
Eucalyptus nicholii :: Nichol's Willow-Leafed Peppermint,7,32.857142857142854
Eucalyptus Spp :: Eucalyptus,7,27.428571428571427
Cinnamomum camphora :: Camphor Tree,7,23.714285714285715
Chamaerops humilis :: Mediterranean Fan Palm,7,23
Zelkova serrata :: Sawleaf Zelkova,6,15.166666666666666
Shrub :: Shrub,6,17.5
Sequoia sempervirens :: Coast Redwood,6,20.333333333333332
Pittosporum tenuifolium :: Tawhiwhi Pittosporum,6,18.333333333333332
Melaleuca spp :: Melaleuca spp,6,23.166666666666668
Magnolia spp :: Magnolia,6,19.833333333333332
Magnolia champaca :: Champa,6,14.5
Liriodendron tulipifera :: Tulip Tree,6,22
